,,,,
,,,,
,,,,
Name,#1,#2,#3,#4
Correction,UV,UV,UV,UV
Date,2024/07/02,2024/07/02,2024/07/02,2024/07/02
Time,18:08:44,18:09:02,18:09:11,18:09:19
Sync. frequency [Hz],0.00,0.00,0.00,0.00
T_int [ms],71.78,136.63,100.00,53680.71
Averages,3,3,3,3
,,,,
,,,,
,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
664,5.90630E-05,2.74102E-05,0.00000E+00,2.73499E-07
665,5.15252E-05,2.10191E-05,0.00000E+00,1.51532E-07
666,5.43192E-05,2.38731E-05,0.00000E+00,3.28876E-07
667,5.98363E-05,2.28810E-05,0.00000E+00,1.84681E-07
668,6.75952E-05,2.82861E-05,0.00000E+00,9.70417E-07
669,7.88807E-05,3.56861E-05,0.00000E+00,5.53782E-07
670,8.81156E-05,3.94513E-05,0.00000E+00,1.13445E-07
671,8.52509E-05,3.99672E-05,0.00000E+00,6.51683E-07
672,7.09491E-05,2.88016E-05,0.00000E+00,9.26939E-08
673,6.11169E-05,2.35373E-05,0.00000E+00,4.97757E-07
674,5.13348E-05,2.08409E-05,0.00000E+00,1.88194E-07
675,4.20545E-05,1.90853E-05,0.00000E+00,4.55466E-07
676,3.39238E-05,1.66094E-05,7.26766E-07,1.32609E-07
677,2.96124E-05,1.62533E-05,1.45373E-07,7.96860E-08
678,2.95365E-05,1.61041E-05,4.39412E-07,4.92281E-07
679,2.74321E-05,1.19825E-05,1.12215E-06,2.75381E-07
680,2.66951E-05,1.01503E-05,1.69875E-06,9.33041E-09
681,1.70898E-05,1.38969E-05,0.00000E+00,3.05693E-10
682,2.09368E-05,1.08334E-05,0.00000E+00,1.28565E-08
683,1.79847E-05,1.01689E-05,0.00000E+00,1.02792E-07
684,1.87958E-05,8.80272E-06,0.00000E+00,4.73738E-07
685,1.91519E-05,1.02965E-05,0.00000E+00,4.23063E-07
686,1.77253E-05,8.28952E-06,0.00000E+00,3.27785E-08
687,1.85977E-05,7.85738E-06,0.00000E+00,5.89786E-07
688,2.10138E-05,8.83469E-06,8.64023E-08,1.96817E-07
689,1.47928E-05,6.62152E-06,6.28462E-08,6.23353E-07
690,1.61264E-05,8.26595E-06,0.00000E+00,1.12562E-07
691,1.59412E-05,8.14158E-06,7.61236E-08,4.65698E-08
692,1.51711E-05,7.64995E-06,8.38729E-07,4.51721E-07
693,1.57253E-05,8.44887E-06,2.89470E-07,2.36775E-07
694,1.19814E-05,9.03001E-06,0.00000E+00,2.88020E-07
695,1.39414E-05,8.73986E-06,0.00000E+00,3.21951E-07
696,6.08128E-06,6.61491E-06,0.00000E+00,6.90241E-07
697,9.73843E-06,4.11713E-06,0.00000E+00,2.75303E-07
698,1.17300E-05,3.71992E-06,7.24090E-07,5.44353E-07
699,1.34803E-05,4.22703E-06,3.51449E-07,4.08471E-07
700,1.07811E-05,5.62070E-06,0.00000E+00,1.69847E-08
701,9.18343E-06,6.09109E-06,0.00000E+00,2.11310E-07
702,1.11841E-05,5.99237E-06,0.00000E+00,2.74387E-07
703,8.01116E-06,4.68791E-06,0.00000E+00,4.53601E-07
704,8.18709E-06,5.02366E-06,0.00000E+00,3.92309E-07
705,1.02099E-05,7.51142E-07,0.00000E+00,2.16455E-09
706,8.76182E-06,8.24045E-06,0.00000E+00,1.55934E-07
707,8.54264E-06,4.97599E-06,8.26611E-08,3.07888E-07
708,9.71204E-06,4.90861E-06,7.57261E-08,6.60099E-08
709,9.64806E-06,6.34695E-06,0.00000E+00,8.56701E-08
710,7.43697E-06,4.42877E-06,1.93889E-07,8.71012E-07
711,9.05321E-06,6.30905E-06,0.00000E+00,9.42946E-08
712,6.60666E-06,4.82528E-06,0.00000E+00,1.53622E-07
713,7.99777E-06,3.80858E-06,0.00000E+00,2.32349E-07
714,6.64240E-06,5.89901E-06,0.00000E+00,3.58121E-07
715,8.29699E-06,4.13729E-06,0.00000E+00,2.28172E-08
716,5.01940E-06,4.94544E-06,0.00000E+00,2.89617E-07
717,8.10680E-06,4.38337E-06,0.00000E+00,3.51830E-07
718,7.40409E-06,3.74545E-06,0.00000E+00,2.10734E-07
719,1.17651E-05,4.91114E-06,0.00000E+00,1.04185E-08
720,3.21355E-06,2.07221E-06,6.20325E-07,4.38182E-07
721,6.26889E-06,1.55009E-06,2.58348E-06,3.22409E-07
722,7.49883E-06,2.48174E-07,0.00000E+00,8.65316E-07
723,4.62442E-06,1.19080E-06,0.00000E+00,2.30944E-07
724,1.08901E-05,1.67976E-07,1.51884E-06,1.29627E-09
725,3.14468E-06,3.41738E-06,0.00000E+00,5.31972E-07
726,3.87396E-06,3.22418E-06,0.00000E+00,6.49628E-07
727,5.60810E-06,5.48922E-06,0.00000E+00,7.95353E-07
728,5.76988E-06,3.59065E-06,0.00000E+00,1.11599E-07
729,5.68764E-06,2.88800E-06,1.02665E-06,1.98943E-07
730,8.95904E-06,1.53135E-06,0.00000E+00,5.94842E-07
731,6.85603E-06,4.14652E-06,0.00000E+00,4.74275E-07
732,5.90374E-06,3.95526E-06,0.00000E+00,6.41471E-07
733,4.60014E-06,1.20893E-06,0.00000E+00,4.25797E-07
734,4.17013E-06,3.99063E-06,0.00000E+00,3.92729E-08
735,6.33540E-06,3.28454E-06,0.00000E+00,2.08512E-07
736,4.11260E-06,5.51287E-06,0.00000E+00,3.19752E-07
737,1.92634E-06,5.03316E-06,1.41723E-06,1.98456E-07
