,,,,,
,,,,,
,,,,,
Name,#1,#2,#3,#4,#4
Correction,UV,UV,UV,UV,UV
Date,2024/10/08,2024/10/08,2024/10/08,2024/10/08,2024/10/08
Time,17:09:24,17:10:17,17:10:48,17:11:10,17:11:10
Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00
T_int [ms],72.83,134.49,100.00,27885.52,27885.52
Averages,3,3,3,3,3
,,,,,
,,,,,
,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
594,1.54122E-04,9.08854E-05,0.00000E+00,6.82318E-08,6.82318E-08
595,1.67498E-04,9.19914E-05,4.43939E-07,4.23473E-07,4.23473E-07
596,1.87815E-04,9.78148E-05,1.81911E-06,3.42617E-07,3.42617E-07
597,2.10638E-04,1.07002E-04,1.22465E-06,2.73007E-07,2.73007E-07
598,2.21493E-04,1.07086E-04,2.19762E-06,3.60148E-07,3.60148E-07
599,2.27498E-04,1.09811E-04,1.18160E-06,2.93560E-07,2.93560E-07
600,2.42680E-04,1.09730E-04,1.28209E-06,2.95035E-07,2.95035E-07
601,2.46690E-04,1.08004E-04,2.27467E-06,2.24720E-07,2.24720E-07
602,2.53220E-04,1.13483E-04,4.84118E-06,2.11294E-07,2.11294E-07
603,2.75488E-04,1.21644E-04,2.16278E-06,4.26653E-07,4.26653E-07
604,3.00119E-04,1.28388E-04,2.57303E-06,5.26516E-07,5.26516E-07
605,3.57218E-04,1.49618E-04,3.72749E-07,3.92378E-07,3.92378E-07
606,4.89674E-04,2.04082E-04,4.25158E-06,5.01101E-07,5.01101E-07
607,6.90026E-04,2.83193E-04,2.85947E-06,6.15637E-07,6.15637E-07
608,8.59132E-04,3.53948E-04,2.84571E-06,8.03793E-07,8.03793E-07
609,1.00172E-03,4.05343E-04,6.41736E-07,9.50641E-07,9.50641E-07
610,1.17106E-03,4.73243E-04,2.16475E-06,1.08850E-06,1.08850E-06
611,1.47054E-03,5.95710E-04,3.40824E-06,1.41246E-06,1.41246E-06
612,1.87565E-03,7.43048E-04,3.55433E-06,1.64998E-06,1.64998E-06
613,2.12643E-03,8.53193E-04,3.25200E-06,1.94537E-06,1.94537E-06
614,2.11370E-03,8.54277E-04,2.01793E-06,1.90681E-06,1.90681E-06
615,1.82105E-03,7.35598E-04,2.22690E-06,1.63859E-06,1.63859E-06
616,1.39510E-03,5.61004E-04,5.56231E-06,1.48509E-06,1.48509E-06
617,1.08914E-03,4.36090E-04,1.83759E-06,1.02729E-06,1.02729E-06
618,9.03417E-04,3.61415E-04,5.16208E-07,6.34414E-07,6.34414E-07
619,8.05969E-04,3.20108E-04,1.50683E-06,7.12598E-07,7.12598E-07
620,7.56925E-04,3.05911E-04,3.53828E-07,6.65027E-07,6.65027E-07
621,7.30994E-04,2.94098E-04,6.46180E-07,8.31316E-07,8.31316E-07
622,7.46731E-04,2.94985E-04,1.35934E-06,4.48994E-07,4.48994E-07
623,7.75709E-04,3.09794E-04,4.31812E-07,6.39496E-07,6.39496E-07
624,8.42840E-04,3.34995E-04,4.99146E-07,6.22172E-07,6.22172E-07
625,9.23136E-04,3.65906E-04,0.00000E+00,7.86816E-07,7.86816E-07
626,1.03665E-03,4.17776E-04,1.27754E-06,1.03226E-06,1.03226E-06
